day,count
 09 21,"	31"
 09 21,"	26"
 09 21,"	20"
 09 21,"	71"
 09 21,"	170"
 09 21,"	425"
 09 21,"	479"
 09 21,"	443"
 09 21,"	464"
 09 21,"	390"
 09 21,"	339"
 09 21,"	407"
 09 21,"	446"
 09 21,"	425"
 09 21,"	113"
 09 21,"	605"
 09 21,"	426"
 09 21,"	388"
 09 21,"	371"
 09 21,"	351"
 09 21,"	211"
 09 21,"	157"
 09 01,"	22"
 09 01,"	14"
 09 01,"	8"
 09 01,"	15"
 09 01,"	28"
 09 01,"	40"
 09 01,"	39"
 09 01,"	94"
 09 01,"	103"
 09 01,"	145"
 09 01,"	125"
 09 01,"	107"
 09 01,"	98"
 09 01,"	136"
 09 01,"	129"
 09 01,"	164"
 09 01,"	149"
 09 01,"	132"
 09 01,"	108"
 09 01,"	106"
 09 01,"	97"
 09 01,"	64"
 09 01,"	19"
 09 01,"	21"
 09 02,"	11"
 09 02,"	5"
 09 02,"	7"
 09 02,"	6"
 09 02,"	14"
 09 02,"	29"
 09 02,"	73"
 09 02,"	209"
 09 02,"	213"
 09 02,"	177"
 09 02,"	192"
 09 02,"	150"
 09 02,"	17"
 09 02,"	176"
 09 02,"	193"
 09 02,"	212"
 09 02,"	212"
 09 02,"	249"
 09 02,"	153"
 09 02,"	72"
 09 02,"	76"
 09 02,"	53"
 09 02,"	35"
 09 02,"	21"
 09 03,"	6"
 09 03,"	9"
 09 03,"	14"
 09 03,"	13"
 09 03,"	24"
 09 03,"	26"
 09 03,"	74"
 09 03,"	216"
 09 03,"	238"
 09 03,"	200"
 09 03,"	215"
 09 03,"	176"
 09 03,"	142"
 09 03,"	180"
 09 03,"	207"
 09 03,"	216"
 09 03,"	228"
 09 03,"	276"
 09 03,"	135"
 09 03,"	89"
 09 03,"	69"
 09 03,"	56"
 09 03,"	24"
 09 03,"	16"
 09 04,"	15"
 09 04,"	10"
 09 04,"	11"
 09 04,"	7"
 09 04,"	15"
 09 04,"	29"
 09 04,"	65"
 09 04,"	200"
 09 04,"	198"
 09 04,"	211"
 09 04,"	180"
 09 04,"	176"
 09 04,"	172"
 09 04,"	184"
 09 04,"	203"
 09 04,"	210"
 09 04,"	213"
 09 04,"	248"
 09 04,"	169"
 09 04,"	87"
 09 04,"	73"
 09 04,"	37"
 09 04,"	33"
 09 04,"	6"
 09 05,"	12"
 09 05,"	8"
 09 05,"	6"
 09 05,"	7"
 09 05,"	15"
 09 05,"	27"
 09 05,"	67"
 09 05,"	194"
 09 05,"	212"
 09 05,"	218"
 09 05,"	169"
 09 05,"	157"
 09 05,"	122"
 09 05,"	170"
 09 05,"	216"
 09 05,"	226"
 09 05,"	214"
 09 05,"	277"
 09 05,"	151"
 09 05,"	92"
 09 05,"	60"
 09 05,"	56"
